unitid,headcountAll,headcountUndergrad
100636,,
100654,5557,4582
100663,20892,12962
100690,1103,522
100706,9009,6983
100724,6368,5541
100733,,
100751,35308,28718
100760,3239,3239
100812,4690,4690
100830,6606,5424
100858,27046,21429
100937,1354,1354
101028,2500,2500
101073,849,849
101116,1227,1127
101143,3731,3731
101161,6762,6762
101189,4342,3637
101240,9482,9482
101286,6873,6873
101295,7905,7905
101301,3206,3206
101365,612,612
101435,1339,1339
101453,114,82
101462,2163,2163
101471,919,919
101480,11374,9671
101499,1784,1784
101505,14398,14398
101514,17612,17612
101541,388,388
101569,6042,6042
101587,6926,2454
101602,2535,2535
101648,443,443
101675,1967,1967
101693,2034,1781
101709,3464,2785
101736,5501,5501
101879,8631,7260
101897,4419,4419
101912,2187,2130
101949,1972,1972
101958,158,158
101994,968,968
102030,6109,6109
102049,5237,3096
102058,655,610
102067,8146,8146
102076,3221,3221
102094,17302,13366
102234,1740,1488
102261,211,211
102270,1201,1201
102298,939,939
102313,2478,2478
102368,33393,25182
102377,3202,2721
102395,1041,233
102429,5827,5827
102553,27649,26030
102580,46,46
102614,16370,14850
102632,6401,5787
102669,923,620
102845,5128,5128
103361,2505,2505
103501,461,461
103529,,
103644,3231,3231
103723,1255,1255
103778,1410,2
103787,96,96
103893,1100,1100
103909,1287,1287
103927,857,857
103945,304,304
104090,2442,2442
104151,81789,65501
104160,12813,12813
104179,43038,33190
104188,319,319
104346,14408,14408
104364,1244,1244
104425,15290,15290
104531,2439,2439
104577,9963,9963
104586,1839,1779
104665,34,7
104708,32854,32854
104717,71712,43136
104805,3693,3693
105118,723,723
105136,,
105145,11674,11674
105154,40070,40070
105163,888,888
105172,1113,1113
105206,9240,9240
105297,2949,2949
105330,28659,22975
105349,7496,7496
105367,2294,954
105428,19525,19525
105516,8343,5539
105525,53250,53250
105534,2721,2721
105543,1662,1662
105589,1484,991
105659,1184,1184
105668,56031,56031
105747,17474,17474
105792,8027,8027
105899,643,643
106041,4000,4000
106102,4696,3507
106148,11811,11811
106245,16422,12182
106263,3189,1137
106306,1571,1571
106342,634,634
106397,26404,21201
106412,3557,3395
106449,7048,7048
106458,18137,11965
106467,12749,11562
106485,4888,4675
106625,3199,3199
106704,12939,10827
106713,996,996
106795,2178,2178
106810,240,240
106883,2125,2125
106980,5297,5297
106999,2031,2031
107044,8056,4705
107071,4478,3826
107080,1461,1450
107141,2787,2211
107318,3169,3169
107327,2819,2819
107460,3090,3090
107512,1686,1686
107521,1863,1863
107549,2248,2248
107558,649,649
107585,3072,3072
107600,817,817
107619,3210,3210
107637,2955,2955
107664,16486,16486
107725,1896,1896
107743,1469,1469
107840,,
107877,712,712
107974,2597,2597
107983,3997,3315
107992,3888,3888
108056,,
108092,8924,8924
108232,22281,15167
108250,1068,1068
108269,150,0
108667,11043,11043
108807,17470,17470
108852,238,238
108861,86,0
108870,349,0
109040,3059,3059
109086,104,80
109208,47974,47974
109350,17899,17899
109651,2519,2282
109785,11586,6394
109819,24675,24675
109907,5076,5076
110060,346,240
110097,6868,4628
110185,1022,974
110219,1784,1740
110246,16587,16587
110307,309,0
110316,1568,121
110334,19267,19267
110361,6575,5076
110370,2167,1633
110398,1327,0
110404,2324,1013
110413,4927,3026
110422,19459,18116
110468,4588,469
110486,9496,8014
110495,9724,8198
110501,,
110510,20152,17324
110529,22923,20842
110538,17115,15779
110547,15825,12658
110556,23526,20324
110565,39103,33056
110574,16114,13141
110583,37145,31053
110592,23797,19177
110608,39844,34140
110617,30534,26912
110635,39459,28774
110644,34072,27171
110653,29460,23765
110662,42057,29421
110671,22397,19795
110680,30670,24835
110699,3189,0
110705,23530,20236
110714,18651,16977
110778,642,0
110918,43,43
110945,2002,2002
111009,1016,1016
111081,1454,923
111188,901,901
111391,961,0
111434,10671,10671
111461,27534,27534
111638,998,998
111887,27724,27724
111896,10234,10234
111920,19023,19023
111939,23170,23170
111948,7874,5747
111966,562,125
112075,4261,1843
112084,808,794
112127,79,0
112172,16130,16130
112190,48279,48279
112251,2434,0
112260,1339,1319
112376,,
112385,17846,17846
112394,407,407
112446,1248,1024
112525,3436,0
112561,4151,4151
112570,354,354
112686,14579,14579
112817,,
112826,11887,11887
113096,21358,21358
113111,7418,7418
113193,15178,15178
113218,13109,13109
113236,19873,19873
113333,37760,37760
113537,54,34
113573,11801,11801
113582,304,304
113607,14193,14193
113634,30501,30501
113698,2580,1843
113704,106,0
113856,56395,56395
113980,33030,33030
114114,244,0
114123,772,772
114266,16726,16726
114354,5799,5799
114372,135,135
114390,1136,1136
114415,406,406
114433,3082,3082
114549,1715,0
114585,473,0
114716,27084,27084
114734,52,0
114789,27946,27946
114813,4665,3314
114831,,
114840,4198,0
114859,26236,26236
114938,10795,10795
115001,21486,21486
115083,4699,679
115126,18155,18155
115214,279,0
115287,,
115296,25714,25714
115393,14202,14202
115409,785,785
115454,2202,2202
115472,3230,3230
115490,2765,2765
115515,2165,2165
115533,2625,2625
115728,1616,990
115746,938,0
115755,8628,7976
115773,1629,1348
115861,9820,9820
116040,694,694
116226,502,498
116439,20799,20799
116466,2683,2683
116475,956,956
116484,1674,1674
116712,1795,421
116846,265,136
117052,19367,19367
117104,703,651
117113,2959,2959
117140,10648,5935
117168,502,462
117195,5902,5902
117247,19943,19943
117274,5285,5285
117520,419,0
117557,433,125
117575,321,123
117627,2936,2216
117636,5392,1580
117645,33504,33504
117672,1569,866
117681,,
117690,14553,14553
117706,27749,27749
117715,10732,10732
117724,22192,22192
117733,26612,26612
117751,1836,1245
117788,31390,31390
117803,298,298
117867,13658,13658
117894,13340,13340
117900,,
117928,2300,2289
117946,10258,6395
118198,794,794
118259,873,873
118277,1956,1956
118286,1497,1497
118347,10299,10299
118541,1031,1031
118684,5928,5928
118693,742,742
118718,13883,13883
118772,10222,10222
118888,1669,1007
118912,21722,21722
118930,16238,16238
118976,23056,23056
