unitid,fees09,fees10,fees11,fees12
100636,,,,
100654,4692,5800,6828,7182
100663,5096,5806,6264,6798
100690,8000,8360,8720,6800
100706,6510,7492,8094,8794
100724,6468,7164,8082,7932
100733,,,,
100751,7000,7900,8600,9200
100760,2700,2700,2700,4140
100812,,,,
100830,5970,6620,7580,8150
100858,6972,7900,8698,9446
100937,26746,27890,29290,30690
101028,2940,3510,4140,4200
101073,7370,7370,8090,8090
101116,14685,15285,15910,16360
101143,2700,3090,3668,3724
101161,2790,3360,4080,4182
101189,13690,14810,15880,17380
101240,2700,3270,3780,3840
101286,2700,3270,3330,3840
101295,2700,3570,4080,4140
101301,2700,3270,3780,3840
101365,10220,10933,11040,11150
101435,20990,20990,21990,22500
101453,9189,9360,12030,12030
101462,2616,2736,3144,3192
101471,3744,3924,4536,4608
101480,4992,5424,6120,6360
101499,2708,3278,3788,3848
101505,3060,3630,4140,4200
101514,2850,3420,3480,3990
101541,12890,13900,14460,15100
101569,3000,3570,4080,4170
101587,5780,6524,6918,7320
101602,2700,3270,3900,3960
101648,8570,8570,8570,8570
101675,9164,9896,10490,11014
101693,15000,16120,17220,18080
101709,7010,7750,8520,9280
101736,2880,3450,4020,4080
101879,4914,5426,6084,6528
101897,2850,3420,3930,4140
101912,13834,14250,14678,15414
101949,2880,3270,4080,4140
101958,8095,8685,9285,9285
101994,2790,3360,4110,4200
102030,2910,3270,4080,4140
102049,20420,21942,23963,25150
102058,3760,5440,5440,5840
102067,2700,3270,4080,4140
102076,2820,3390,4140,4104
102094,5962,5748,6204,6660
102234,25450,26730,28060,29450
102261,10440,11600,10850,11300
102270,13462,14464,15062,15665
102298,8940,11111,11143,11492
102313,2700,3270,3192,3240
102368,4924,5860,6412,6844
102377,16280,16750,17870,18900
102395,,,,
102429,2950,3488,4198,4170
102553,4910,5186,5396,5726
102580,6930,7130,7130,7130
102614,5138,5358,5568,5898
102632,4888,5130,5380,5740
102669,24410,26360,27110,29810
102845,17750,17750,17725,19700
103361,3970,4405,4300,4570
103501,,,,
103529,,,,
103644,15024,15024,12420,12420
103723,12650,12475,12650,14880
103778,,,,
103787,7974,9750,10500,11700
103893,,,,
103909,,,,
103927,,,,
103945,12813,15024,15790,16154
104090,,,,
104151,6844,8132,9720,9724
104160,2000,2000,2300,2360
104179,6855,8237,10035,10035
104188,25685,27125,27665,27665
104346,1736,1950,2100,2160
104364,9888,11904,12220,13104
104425,1422,1560,1592,1680
104531,14592,14826,15248,15915
104577,1520,1520,1600,1760
104586,28274,29428,29552,30420
104665,,,,
104708,1734,1734,1854,1854
104717,17060,16500,16500,17000
104805,,,,13049
105118,,,,
105136,,,,
105145,1734,1734,1854,1854
105154,1734,1734,1854,1854
105163,17148,18048,18048,18048
105172,17148,18048,18048,18048
105206,1636,1848,1968,2016
105297,805,805,805,805
105330,6632,7672,8826,9272
105349,1248,1414,1526,1558
105367,,,,10960
105428,1734,1734,1854,1854
105516,9800,10440,10858,11320
105525,1352,1412,1532,1652
105534,,,,
105543,,,,
105589,24643,26235,27829,28820
105659,,,,
105668,1734,1734,1854,1854
105747,1734,1734,1854,1854
105792,1734,1734,1854,1854
105899,15164,16174,18968,21040
106041,,,,
106102,9792,10480,10560,11040
106148,1392,1488,1608,1824
106245,6338,6643,6937,6854
106263,,,,
106306,7018,7432,7800,7800
106342,19968,21324,22906,23594
106397,6460,6768,7174,7554
106412,4796,5033,5435,5724
106449,2136,2160,2053,2098
106458,6370,6640,6934,7180
106467,4554,4804,5070,5286
106485,4750,4990,5290,5560
106625,1752,1968,1968,2472
106704,6698,6908,7183,7333
106713,9950,10760,11610,12530
106795,1840,1900,1942,2002
106810,9160,9910,10310,10900
106883,2040,2190,2340,2430
106980,2410,2590,2698,3270
106999,1772,1772,1954,2036
107044,13580,14040,14610,15240
107071,6500,6740,7010,7280
107080,30270,32040,34230,36200
107141,18880,19770,20766,21774
107318,2120,2270,2930,2190
107327,1664,1720,1758,1870
107460,1440,1536,1584,1752
107512,18940,19820,20630,21440
107521,2252,2312,2402,2547
107549,2066,2186,2186,2258
107558,18900,20530,22050,23250
107585,2752,2793,1984,2024
107600,9000,9450,11910,12464
107619,2030,2150,2250,2375
107637,2320,2770,2830,2980
107664,2780,2840,2910,3183
107725,1866,1943,2074,2196
107743,1400,1632,1752,1848
107840,,,,1650
107877,11400,12020,12620,13150
107974,1792,1868,2060,2108
107983,6066,6426,6786,7146
107992,3180,3270,3514,3769
108056,,,,
108092,4600,4918,4250,4462
108232,18050,18050,18050,18650
108250,17148,18048,18048,18048
108269,,,,
108667,732,766,1046,1144
108807,782,782,1062,1346
108852,27000,29220,30500,30650
108861,,,,
108870,,,,
109040,,,,
109086,,,,
109208,654,644,972,1104
109350,780,780,780,1104
109651,31576,32168,34044,35552
109785,27750,28800,29940,31076
109819,766,766,1046,1324
109907,624,624,864,1104
110060,7620,7620,7620,7620
110097,27744,28852,29908,31004
110185,17880,17880,17880,20120
110219,11260,12270,11695,11695
110246,804,824,1084,1334
110307,,,,
110316,,,,
110334,774,774,790,1350
110361,23266,24654,25808,26900
110370,33254,35222,37040,38798
110398,,,,
110404,34584,36282,37704,39588
110413,30230,31000,32860,34360
110422,6498,6480,7911,8043
110468,,,,15190
110486,5091,5314,6682,6709
110495,4840,5302,6582,6582
110501,,,,
110510,4839,5049,6518,6327
110529,4551,4807,6106,6125
110538,5336,5620,6890,6890
110547,4645,4849,6095,6095
110556,4672,4879,6263,6228
110565,4662,4858,6120,6195
110574,4872,5091,6414,6309
110583,4370,4810,6240,6052
110592,4640,4848,6095,6101
110608,4801,5076,6488,6296
110617,4900,5195,6573,6620
110635,8938,10940,12834,12874
110644,9943,11958,13860,13877
110653,9303,11232,13122,13122
110662,8851,10781,12686,12692
110671,9092,11029,12924,12960
110680,9377,11306,13200,13217
110699,,,,
110705,9662,11686,13595,13671
110714,9447,11505,13416,13416
110778,,,,
110918,7220,7460,7610,8645
110945,12813,15024,15790,16796
111009,18242,17771,14723,14987
111081,35406,36742,38260,39014
111188,5090,5294,6536,6536
111391,,,,
111434,780,780,1068,888
111461,670,670,910,1154
111638,,,,
111887,780,780,1060,1340
111896,728,728,1010,1290
111920,560,756,892,1138
111939,710,710,898,1153
111948,36764,38524,40234,42084
111966,11300,11300,10204,9957
112075,24950,26000,27300,28500
112084,21610,22692,23814,25108
112127,,,,
112172,814,814,1112,1138
112190,738,734,1002,1238
112251,,,,
112260,38510,40230,42240,44085
112376,,,,
112385,650,656,896,1136
112394,18036,18924,19668,19668
112446,19000,19600,19600,19600
112525,,,,
112561,670,670,910,1150
112570,16820,17105,18080,18795
112686,1008,1282,1762,1142
112817,,,,
112826,738,738,1018,1298
113096,654,644,972,1104
113111,705,651,892,1134
113193,860,860,742,1230
113218,806,806,1096,1386
113236,656,656,896,1136
113333,891,878,1221,1542
113537,12250,12250,12250,12750
113573,762,762,1036,1316
113582,15700,18480,18480,20470
113607,14592,14826,15188,15915
113634,738,738,1018,1298
113698,33840,35550,37350,39050
113704,,,,
113856,699,699,959,1220
113980,1008,1282,1762,1142
114114,,,,
114123,,,,
114266,764,764,1044,1324
114354,22854,24407,26197,27625
114372,20400,20400,22357,22382
114390,22854,24407,26197,27625
114415,22854,24407,26197,27625
114433,859,859,1159,1446
114549,,,,
114585,,,,
114716,894,894,1215,1536
114734,,,,
114789,658,658,900,1140
114813,23898,23904,24790,25336
114831,,,,
114840,,,,
114859,656,656,896,1138
114938,677,708,978,1242
115001,689,691,931,1175
115083,,,,14160
115126,686,686,926,1172
115214,,,,
115287,,,,
115296,806,806,1096,1387
115393,788,744,1088,1340
115409,38467,40390,42410,44442
115454,12315,13095,13095,13020
115472,12315,13095,13095,13020
115490,12315,13095,13095,13020
115515,12315,13095,13095,13020
115533,12315,13095,13095,13020
115728,27340,28690,30390,31640
115746,,,,
115755,5171,5750,7062,7135
115773,9648,10134,10620,11160
115861,763,763,1038,1326
116040,,,,
116226,,,,
116439,658,827,1137,1487
116466,17148,18048,18048,18048
116475,17148,18048,18048,18048
116484,17148,18048,18048,18048
116712,,,,
116846,22352,24542,25788,27080
117052,658,658,898,1140
117104,12500,12500,12500,13100
117113,18108,18748,18748,18748
117140,28250,29800,31300,33350
117168,21600,22890,23730,25000
117195,687,687,948,1221
117247,732,766,1046,1144
117274,647,647,887,1127
117520,,,,
117557,8385,9210,9220,10105
117575,12552,12552,13068,13692
117627,24773,25881,27231,28314
117636,,,,
117645,800,802,1082,1366
117672,,,,
117681,,,,
117690,700,700,960,1220
117706,699,699,959,1220
117715,700,700,960,1220
117724,700,700,960,1220
117733,700,700,960,1220
117751,24670,25640,26650,27700
117788,699,699,959,1220
117803,,,,
117867,700,700,960,1220
117894,738,738,1018,1298
117900,,,,
117928,18258,18648,18948,18948
117946,35629,36622,37825,39125
118198,,,,
118259,,,,
118277,,,,
118286,,,,
118347,776,816,1116,1416
118541,24582,25664,27971,28920
118684,666,666,906,1422
118693,32120,33550,35076,36110
118718,658,658,898,1138
118772,732,766,1046,1144
118888,36232,37485,39264,40080
118912,668,668,908,908
118930,698,682,930,1174
118976,670,670,910,1150
119058,,,,
119067,678,678,918,1170
119137,764,818,818,1338
119164,680,680,914,1164
119173,28700,30132,31339,32894
119216,780,780,1080,1386
119270,20425,22500,23175,23985
119331,650,660,902,1142
119359,14190,16853,14364,14364
119368,12078,13518,14994,14994
119508,10908,12096,13536,13572
119544,6640,6992,7908,8196
119605,10728,11088,11376,11736
119678,,,,
119775,21225,22422,23417,24133
120023,,,,
120166,7340,7340,7450,8170
120184,27110,28500,29890,30522
120254,38935,40939,42871,44570
120290,678,678,918,1162
120342,686,686,926,1184
120403,31360,32900,35404,38300
120421,764,818,818,1338
120537,21890,23250,24064,25264
120661,,,,
120698,,,,
120740,,,,
120768,,,,
120795,,,,
120838,14680,17160,17160,19340
120865,23979,25221,25965,26640
120883,32230,34100,36290,38320
120953,728,728,1008,1288
120971,826,826,1052,1328
121044,700,700,960,1152
121071,13440,13440,13440,8036
121150,37850,39080,40752,42772
121178,,,,
121257,39330,41130,42550,43402
121275,23250,23250,23250,23250
121309,25840,27100,28310,29510
121345,37017,38394,39883,41438
121363,762,762,1042,1322
121381,14212,14317,15020,14982
121619,652,658,898,1142
121628,,,,
121691,33894,35540,37302,39338
121707,648,648,888,1140
121886,670,666,917,1170
121901,814,817,1117,1413
121983,12612,13332,12612,12685
122117,,,,
122180,654,644,972,1104
122205,658,762,762,762
122296,,,,
122320,,,,
122339,658,658,898,1140
122366,15050,15732,16664,16670
122375,658,658,898,1140
122384,658,658,898,1140
122409,4902,5206,6578,6578
122436,36292,37372,38582,39970
122454,31350,33294,34916,36618
122506,33280,35180,36780,37880
122597,4740,5014,6276,6440
122603,,,,
122612,34770,36380,37424,38884
122649,,,,
122658,624,624,864,1104
122685,12550,12925,14225,16787
122694,12550,13418,14225,16290
122728,19980,19980,21800,22900
122737,,,,
122746,762,762,1042,1324
122755,5054,5370,6828,6852
122782,,,,
122791,780,658,899,1418
122834,10965,11650,11652,11673
122843,14270,14447,15121,14921
122852,10965,11650,11699,11674
122889,646,814,1094,1374
122931,36000,37368,39048,40572
122977,652,652,896,1140
123013,741,742,1014,1278
123095,,,,
123165,38700,40450,41950,43620
123208,,,,
123217,658,774,798,1360
123280,9340,10220,10320,10360
123299,699,699,820,1183
123341,668,668,908,1150
123448,,,,
123457,20400,21000,21600,22400
123484,650,650,900,573
123509,821,811,1111,1111
123527,720,795,795,1238
123554,33910,35430,37150,38450
123563,816,816,1116,1416
123572,5290,5508,6862,7162
123581,,,,
123633,,,,
123642,,,,
123651,25452,26342,27400,28500
123679,,,,
123800,772,772,1052,1334
123855,,,,
123916,,,,
123925,,,,
123943,,,,
123952,25350,27850,30600,35176
123961,39183,41022,42818,44463
123970,,,,
124113,795,780,1080,1380
124283,,,,
124292,22400,22400,22850,23600
124487,9000,10130,10805,11500
124557,,,,
124681,,,,
124706,,,,
124937,,,,
125019,,,,
125028,764,818,818,1338
125037,,,,
125091,634,634,874,1114
125170,732,766,1046,1144
125222,,,,
125231,12140,9480,10610,11010
125462,624,624,864,1380
125471,700,700,960,1220
125480,,,,
125499,700,700,936,1178
125532,,,,
125718,,,,
125727,33190,34460,35650,37020
125763,34228,35582,36992,38640
125897,28015,29132,29994,31444
126012,,,,
126030,,,,
126049,,,,
126076,10700,11600,12200,12700
126100,,,,
126119,792,752,976,1124
126182,4454,4971,5627,6448
126207,1818,2068,2115,2115
126289,2301,2492,2725,2898
126359,9094,9656,10087,10475
126401,12600,14271,14040,14040
126410,14960,11020,12272,16643
126562,6657,7214,7394,7494
126580,5733,6029,6512,6688
126605,14371,13274,13274,14094
126614,7932,8511,9152,9482
126669,21200,22040,22960,23870
126678,37428,38898,40050,41892
126687,,,,
126702,17228,17532,17832,17832
126711,1530,1650,1770,1860
126748,2326,2506,2740,2962
126775,12244,13425,14453,15654
126784,,,,
126818,6318,6895,7952,8649
126827,10665,10665,10665,11517
126863,2805,3064,3370,2707
126872,12813,15024,15790,16154
126924,10800,11300,11800,9285
126942,2357,2625,3186,2962
126951,,,,
126979,,,,
127024,13958,14227,14923,14295
127060,35481,36501,37833,39177
127185,4646,4924,5592,6462
127200,2338,2625,2836,2962
127273,,,,
127389,2513,2704,2934,2962
127556,5373,6248,6548,6870
127565,3639,4093,4834,5341
127617,2435,2626,2836,2962
127653,23520,25100,26360,27670
127680,11755,12160,13238,12135
127699,11755,12160,13238,12135
127714,9600,10050,11250,11250
127732,2667,2858,3111,3278
127741,5451,5997,6623,6514
127778,2854,3091,3440,3658
127787,13685,14256,15660,15660
127820,5192,6268,6584,2989
127839,,,,
127884,2348,2822,3052,3235
127909,2223,2625,2835,2962
127918,29700,30598,31188,31800
127945,24840,26832,27648,27648
128106,5210,5615,6270,7327
128179,,,,
128188,,,,
128258,3140,3378,3669,3940
128300,,,,
128328,0,0,0,0
128391,6104,4775,5473,6449
128425,8050,8050,8050,8150
128498,23126,24374,26294,28358
128577,3200,3406,3490,3598
128683,18290,18950,19050,19700
128744,25465,26370,27330,28140
128771,7414,7861,8055,8321
128780,,,,
128902,42335,43990,43990,44890
129020,9886,10416,10670,11242
129154,17600,18500,19400,19400
129215,7783,8350,8555,8911
129242,37490,39040,40580,41690
129367,3200,3406,3490,3570
129428,,,,
129491,,,,
129525,28980,29852,30754,32172
129534,9360,9600,9840,10080
129543,3200,3406,3490,3598
129613,13110,14870,11453,15754
129686,23092,24860,26784,28536
129695,3200,3406,3490,3598
129729,3200,3406,3490,3618
129756,3200,3406,3490,3598
129774,25627,26907,27714,28494
129808,3200,3386,3490,3598
129941,29470,30750,31750,32750
130004,3180,3386,3490,3598
130040,3200,3406,3490,3598
130110,12960,15960,12960,12960
130183,24300,25050,25900,27450
130217,3200,3406,3490,3598
130226,32400,34250,36130,38000
130253,30298,31440,32724,34030
130314,27202,28530,30310,31826
130396,3200,3406,3490,3598
130448,12910,14060,14531,18900
130493,7578,8050,8248,8570
130581,,,,
130590,40840,42420,44070,45730
130606,3200,3406,3490,3598
130624,3000,3000,0,0
130697,40392,42384,43974,45928
130776,7462,7909,8104,8440
130794,36500,38300,40500,42300
130882,,,,
130891,2816,2942,3086,3242
130907,2816,2942,3086,3242
130916,2816,2942,3086,3242
130934,6481,6731,7056,7336
130943,9486,10208,11192,11682
130989,17880,18660,19860,21120
131098,19830,20580,21565,22392
131113,9080,9290,9470,9710
131159,34973,36697,38071,39499
131283,31890,33780,35460,36820
131308,28160,29180,30140,31130
131399,5370,7000,7000,7244
131405,,,,
131450,11226,11226,11986,12806
131469,41655,42905,44148,45780
131496,39036,40203,41393,42870
131520,16075,18120,20171,22683
131742,,,,
131803,13395,14085,14805,14985
131876,20159,20575,20975,21125
131973,,,,
132268,,,,
132338,17200,17704,17904,17904
132408,8500,8800,9100,9400
132471,26400,27200,28160,28160
132523,,,,
132602,12936,13452,13990,14410
132657,30100,30900,31700,32600
132693,2148,2256,2448,2458
132709,2112,2272,2446,2494
132806,14525,14550,17394,20949
132842,11724,12048,12048,12048
132851,2085,2190,2365,2522
132879,8470,9070,10472,10472
132903,4526,5021,5584,6247
133021,2650,2890,3100,3120
133085,14710,15440,16315,16715
133386,2696,2907,3134,3371
133465,14810,15285,15910,16360
133492,32104,33228,34546,35926
133508,2606,2682,2728,2728
133526,9990,10470,10994,11358
133553,28600,29728,29852,30720
133650,3958,4635,5187,5785
133669,3349,3835,4264,4789
133702,2268,2450,2708,2790
133711,13300,13860,14510,15340
133809,12150,12350,13180,13820
133845,,,,
133854,,,,
133863,,,,
133872,9280,9580,10030,10780
133881,31520,32294,34990,36020
133951,4580,5102,5678,6417
133960,2677,2847,3074,3276
133979,13356,14024,14604,15000
133997,16620,16744,16744,17644
134079,22795,24662,26112,27200
134097,4566,5238,5826,6402
134112,,,,
134121,,,,
134130,4373,5044,5657,6143
134149,13428,13536,14976,14976
134237,27985,21560,20907,21448
134343,2387,2569,2765,2765
134422,10110,10620,10620,11085
134495,2097,2264,2423,2506
134510,4940,5100,5232,5480
134608,2246,2452,2634,2764
134680,19080,19080,19080,15086
134811,17200,17704,17704,17714
134875,,,,
134909,17148,18048,18048,18048
134945,25300,26600,27900,29100
135063,6690,7410,7410,7410
135081,14176,14176,15064,15664
135124,,,,
135160,2448,2631,2923,3070
135188,2556,2760,2997,3142
135364,5232,5376,5520,5712
135391,2640,2847,3074,3074
135610,,10410,10650,11058
135717,2586,2847,3164,3366
135726,36188,37836,39654,41220
135939,13950,14745,15478,14695
135957,13750,15414,15732,15552
136011,13750,15763,15552,15552
136066,17536,17536,18564,15120
136075,11407,17023,17370,18606
136145,2466,2640,2806,3054
136172,4193,4909,5627,6235
136206,18408,19272,20140,20996
136215,21100,22150,23214,24414
136233,2272,2569,2851,3004
136288,14320,14328,14616,14616
136330,22700,23400,24100,24800
136358,1990,2158,2324,2378
136400,2439,2634,2844,3035
136473,2018,2179,2540,2704
136516,2585,2789,3114,3306
136701,,,,
136774,28880,32290,34840,36640
136950,36220,37640,38400,39900
137032,17646,18150,18870,19370
137078,2614,2822,2988,3172
137096,2031,2167,2457,2457
137148,12612,13332,12612,12685
137209,2743,2904,3131,3131
137272,17000,17000,17000,17100
137281,2318,2434,2556,2760
137315,2580,2790,3011,3160
137351,4577,5198,5800,6334
137476,21690,22770,23910,25110
137537,14900,14900,16100,16100
137546,31770,33424,35078,36644
137564,15000,16430,17718,18596
137759,1946,2214,2017,2017
137777,10500,10500,10500,12500
137801,13536,14328,15336,15336
137810,18048,19104,15336,15336
137847,22482,23218,23976,25222
137892,,,,
137953,7950,7950,8730,9040
137962,11200,11824,12154,12608
138187,2621,2752,2972,2378
138275,15320,15980,16660,17480
138293,17850,18742,19670,20418
138309,13160,13520,12620,12620
138354,3649,4154,4701,6238
138558,2718,2962,3172,3279
138600,30105,31283,32195,33461
138655,7490,7850,8260,8770
138664,7490,7850,8260,8260
138682,2043,2268,2094,2264
138691,2512,2714,3040,3170
138716,4060,4592,5802,5912
138761,11416,12138,12492,12916
138789,4048,4510,4854,4942
138813,16992,17496,17796,17796
138840,2046,2271,2052,2242
138868,15150,15880,16226,17400
138901,2698,2850,2906,2956
138929,,,,
138947,17038,17954,18912,19830
138956,2055,2280,2062,2232
138983,3730,5184,5742,5622
139010,2436,2608,2864,2913
139074,16347,16347,16601,13500
139144,23360,24620,26090,27650
139153,8220,8588,8940,8940
139199,19356,20130,21124,22168
139205,15390,17130,13790,12670
139214,13600,11010,11961,12420
139250,2548,3120,3871,4120
139278,2085,2355,2192,2362
139287,5365,5920,7480,8060
139311,4104,4566,4926,5014
139348,,,,
139357,2031,2468,2048,2168
139366,4248,4996,5457,5357
139384,2043,2268,2048,2267
139393,25270,26226,27220,28270
139463,2900,2522,3622,3732
139533,14592,14826,15188,15915
139579,14735,15285,15910,16360
139621,2270,2442,2812,2862
139630,12880,13520,14550,15700
139658,38036,39158,41164,42980
139700,2162,2237,2424,2443
139719,5012,5562,6030,6180
139755,7506,8716,9652,10098
139764,3986,4454,4786,4914
139773,2470,2570,2986,3161
139861,5778,7852,8344,8618
139904,4235,4422,4653,4721
139931,4660,5340,5659,5754
139940,8298,8698,9410,8157
139959,7530,8736,9472,9842
139968,2462,2596,3016,3073
139986,2043,2268,2078,2282
139995,9000,9000,9000,9000
140003,8800,9250,9550,9925
140012,1869,2064,2264,2434
140085,2043,2268,2080,2200
140146,,,,
140164,4362,5042,5340,5522
140234,21094,22208,23272,24462
140243,2070,2295,2526,2246
140252,8298,8580,8815,9057
140304,1800,1863,2080,2250
140322,2204,2354,3088,2865
140331,2094,2370,2122,2289
140340,14860,11241,11760,11880
140401,,,,
140447,29540,30560,31548,32466
140483,2490,2734,3067,3103
140553,21376,22444,23792,24744
140562,,,,
140599,2043,2268,3072,3072
140669,4282,5194,5505,5600
140678,2085,2310,2116,2308
140696,26650,27950,29150,30150
140720,11794,11794,12502,12502
140818,18000,18000,19000,19930
140872,16670,17166,17670,18070
140942,2043,2268,2542,2279
140951,28265,29570,31010,32405
140960,4774,5624,6032,5290
140988,16300,17070,17870,18770
140997,2378,3158,3500,3562
141006,2115,2340,2582,2362
141060,20926,22010,23254,23794
141097,4498,5180,5500,5627
141158,2043,2268,2048,2218
141167,11894,12510,13320,14080
141185,15575,15885,16910,18210
141237,14000,14540,15010,15650
141255,2076,2528,2352,2492
141264,4706,5406,5697,5792
141307,2672,2872,3174,2730
141325,17500,18000,18500,19000
141334,4582,5282,5645,5740
141361,19335,20740,22035,23559
141468,12315,13074,13095,13020
141486,17040,17740,18440,19330
141565,4888,5416,5944,6184
141574,7168,8095,9100,9404
141644,14960,15820,16610,18600
141680,1926,2142,2358,2454
141796,1956,2172,2388,2484
141802,1956,2172,2388,2484
141811,1941,2157,2373,2469
141839,2022,2238,2454,2550
141936,,,,
141963,,,,
141981,4186,4666,5146,5602
141990,1936,2152,2368,2464
142054,,,,
142090,8760,9360,10100,10540
142115,4864,5300,5566,5884
142179,1880,2038,2152,2242
142276,4968,5416,5796,6070
142285,4932,5402,5856,6212
142294,20070,21380,22695,23355
142328,4596,4998,5348,5562
142337,17148,18048,18048,18048
142443,2514,2658,2764,2846
142461,22200,23100,24030,25190
142522,3580,3660,3811,3770
142559,2400,2520,2640,2640
142832,,,,
142887,24250,25570,26570,27770
143048,34770,36150,37560,39020
143075,,,,
143084,31326,32235,33363,34614
143118,18200,18700,19450,20100
143215,2380,2604,2884,2922
143233,,,,
143279,2685,2835,2955,3225
143288,14286,14996,16296,17502
143297,,,,
143358,24224,25424,26704,28284
143613,3144,4035,4140,3914
143659,,,,
143853,,,,
143978,,,,
144005,8006,8752,9062,8558
144014,,,,
144050,40286,42041,43780,45609
144157,2720,3010,3070,3070
144166,2720,3010,3070,3070
144175,2720,3010,3070,3070
144184,2720,3010,3070,3070
144193,2720,3010,3070,3070
144209,2720,3010,3070,3070
144218,2720,3010,3070,3070
144281,18960,19610,20644,21730
144351,23455,24396,25456,26476
144467,20375,18186,15776,12912
144485,,,,
144500,,,,
144564,2730,3030,3210,3525
144740,27343,28858,30618,32295
144759,14592,14826,15188,15915
144777,,,,
144865,3712,4128,4224,4352
144883,15750,15750,16650,17595
144892,9429,9987,10534,10930
144944,2194,2194,2386,2530
144962,27330,28660,30054,31650
144971,17390,18045,18750,19480
145239,14680,14680,15180,15180
145275,,,,
145336,,,,
145372,20216,20924,22198,22920
145460,17980,19100,19300,19300
145497,17335,18230,19120,18030
145521,2184,2472,2592,2736
145558,,,,
145600,11226,12056,12656,13122
145619,22310,23240,23184,24137
145628,,,,
145637,12116,13096,13838,14522
145646,33982,35256,36572,37954
145682,2610,2790,3060,3195
145691,21300,22800,24550,26500
145707,2164,2772,2762,2858
145725,29364,32443,35125,37969
145770,12612,13332,12612,12685
145813,10531,11417,11832,12726
145831,2242,2434,2682,2946
145886,,,,
146010,18930,15030,15030,14400
146205,2280,2520,2760,2760
146241,,,,
146278,3210,3810,3900,3990
146296,2790,3090,3090,3210
146339,23500,24780,26110,27000
146348,2688,2970,3210,3390
146366,2592,2816,3072,3328
146384,,,,
146393,22125,22275,22910,24246
146418,2550,2730,3000,3060
146427,31911,33024,34464,36492
146472,2660,2968,3052,3136
146481,34206,35525,36920,38300
146490,,,,
146506,2544,2784,2904,3024
146533,,,,
146603,2632,2912,3080,3192
146612,22990,23780,24770,25770
146621,23800,24500,24700,24700
146667,13020,13680,14580,15300
146676,21000,21000,23000,17500
146685,2700,2820,2412,2568
146700,,,,
146719,30656,32114,33294,34578
146728,,,,
146755,20160,21961,23983,24982
146816,12960,12960,12960,12930
146825,18390,19310,20400,21400
146977,,,,
147004,2684,2744,2999,2999
147013,22070,23130,24190,25340
147031,,,,
147129,,11700,12780,16448
147165,12600,13200,13875,15225
147244,26445,27525,28612,28612
147341,24950,26900,28650,30450
147369,1885,9968,10526,10954
147378,2766,3006,3246,3636
147396,14560,14640,15100,15100
147411,2580,3188,3188,3188
147536,18175,18355,18895,18930
147590,,,,
147660,26916,28224,29733,31071
147679,18860,19960,21050,22150
147697,,,,
147703,10666,11676,12422,13066
147749,15180,15900,16440,16215
147767,38463,40223,41983,43779
147776,7082,7492,7879,8089
147800,2510,2750,2707,2784
147828,23590,25590,27590,28090
147916,2760,3060,3210,3360
148007,2228,2348,2516,2784
148016,23040,24015,25640,25960
148131,22030,23000,24140,25180
148140,10250,10991,11135,11965
148177,18496,18066,17796,17796
148256,2370,2550,2790,2835
148292,2510,2690,2892,3042
148335,19200,20100,21600,22200
148380,2220,2400,2804,2804
148399,8120,8480,9200,9632
148405,24250,24750,25570,26310
148487,21000,23000,25000,25950
148496,24700,25710,26610,27730
148511,,,,
148575,,,,
148584,22698,24742,25932,26924
148593,,,,
148627,24330,25520,27060,28110
148654,7440,8101,8581,8952
148672,2923,3243,3243,3382
148724,,,,
148821,2310,2610,2760,2760
148849,26905,29100,30150,30780
148876,8064,8400,8760,8760
148885,,,,
148937,2370,2610,2760,2760
148982,,,,
148991,2670,3000,3090,3390
149019,,,,
149028,,,,
149222,10411,10468,11038,11528
149231,8336,8401,8865,9251
149240,,,,
149310,11700,13500,13500,13500
149329,11000,12000,12000,12000
149365,3112,3473,3773,3773
149505,20959,21733,22572,23513
149514,22370,23370,24610,25840
149532,2410,2890,3112,3302
149587,,,,
149639,21360,22270,23190,24116
149727,2160,2352,2400,2448
149763,,,,
149772,9617,10149,10719,11182
149781,26520,27580,28960,30120
149842,2610,2814,2910,3006
150048,12680,13280,13880,13880
150066,22910,24000,24610,25560
150136,7830,8214,8558,8980
150145,21578,22590,23630,24280
150163,29246,30558,31948,33138
150172,13220,14200,14880,14880
150215,,,,
150251,12350,12350,13250,13250
150288,,,,
150400,33250,34905,36970,38750
150455,35164,36694,38284,40020
150534,26756,28076,29416,30556
150604,23275,24655,25865,26895
150668,23400,24500,25700,26900
150677,21100,21700,22546,23290
150756,26350,27500,28850,30268
150774,18700,20700,22900,23900
150941,21290,22330,23210,23780
150987,3090,3257,3354,3455
151102,6233,6545,6708,6876
151111,7523,7885,8243,8605
151166,11535,12135,13215,16050
151263,21170,22220,23010,23830
151290,21400,22420,23430,24370
151306,5474,5740,6032,6325
151324,7426,7714,7982,8098
151333,5838,6109,6323,6541
151342,6015,6290,6507,6728
